word,meaning,sound
Mesopotamia,A region between the Tigris and Euphrates rivers that developed the first urban societies. In the Bronze Age this area included Sumer and the Akkadian¸ Babylonian and Assyrian empires¸ In the Iron Age¸ it was ruled by the Neo-Assyrian and Neo-Babylonian empires.,https://quizlet.com/tts/en.mp3?v=14&b=YW4gYXJlYSBpbiBzb3V0aGVybiBNZXNvcG90YW1pYSwgd2hlcmUgY2l0aWVzIGZpcnN0IGFwcGVhcmVk&s=OF4Ha9bo
silt,A mixture of rich soil and tiny rocks,https://quizlet.com/tts/en.mp3?v=14&b=dGhlIGNhcGl0YWwgb2YgQmFieWxvbmlhOyBhIGNpdHkgb2YgZ3JlYXQgd2VhbHRoIGFuZCBsdXh1cnk&s=tEkZq6Au
Fertile Crescent,A geographical area of fertile land in the Middle East stretching in a broad semicircle from the Nile to the Tigris and Euphrates,https://quizlet.com/tts/en.mp3?v=14&b=IlNlbWl0aWMgcGVvcGxlIiBub3J0aCBvZiB0aGUgU3VtZXJpYW4gY2l0eS1zdGF0ZXM&s=wuvx8RDu
river valley,the fertile land surrounding a river,https://quizlet.com/tts/en.mp3?v=14&b=dmVyeSBoYXJzaCBwZW9wbGUgd2hvIGV4cGxvaXRlZCB0aGUgdXNlIG9mIGlyb24gd2VhcG9ucyB0byBidWlsZCB0aGVpciBNZXNvcG90YW1pYW4gZW1waXJlLCB3aGljaCBsYXN0ZWQgbGVzcyB0aGFuIDEwMCB5ZWFycy4gdGhleSBoYWQgYSBraW5nIHdpdGggYWJzb2x1dGUgcG93ZXI&s=3.MQZwzD
crossroads,intersection,https://quizlet.com/tts/en.mp3?v=14&b=Y3JlYXRlZCB0aGUgd29ybGQncyBmaXJzdCBlbXBpcmU&s=sZooUCP6
Pantheon,A group of gods; a group of people so accomplished in a skill or field that they seem like gods,https://quizlet.com/tts/en.mp3?v=14&b=YSBwZXJpb2Qgb2YgaHVtYW4gY3VsdHVyZSBiZXR3ZWVuIHRoZSBTdG9uZSBBZ2UgYW5kIHRoZSBJcm9uIEFnZSwgY2hhcmFjdGVyaXplZCBieSB0aGUgdXNlIG9mIHdlYXBvbnMgYW5kIGltcGxlbWVudHMgbWFkZSBvZiBicm9uemU&s=10Klr-iE
astronomy,The study of the moon¸ stars¸ and other objects in space,https://quizlet.com/tts/en.mp3?v=14&b=YSBzdHJ1Y3R1cmUgZXJlY3RlZCB0byBjb21tZW1vcmF0ZSBwZXJzb25zIG9yIGV2ZW50cw&s=lmFInF4R
Accuracy,A description of how close a measurement is to the true value of the quantity measured.,https://quizlet.com/tts/en.mp3?v=14&b=QSBncm91cCBvZiBzdGF0ZXMgb3IgdGVycml0b3JpZXMgY29udHJvbGxlZCBieSBvbmUgcnVsZXI&s=h-K9ndsN
livestock,farm animals; domestic animals raised for their working ability or for their value as a source of food and other products,https://quizlet.com/tts/en.mp3?v=14&b=YSBjdXJ2ZWQgY2VpbGluZyBtYWRlIG9mIGFyY2hlcw&s=PifNHUKU
sexagesimal,Is a numeral system the people of Sumer used that has a numeral base of 60,https://quizlet.com/tts/en.mp3?v=14&b=QSBwcm90ZWN0aXZlIHdhbGwgdGhhdCBjb250cm9scyBvciBob2xkcyBiYWNrIHdhdGVy&s=QGheNUYq
